type;article_title;article_url;expected_service;service_url;article_to_service;service_to_article;notes
blog;Architectural columns capitals and bases;https://decorativearchitecturalshapes.com/decorative-architectural-shapes-architectural-columns-capitals-bases/;Architectural Columns;https://decorativearchitecturalshapes.com/services/architectural-columns/;missing;missing;Статья проверена целиком (3/3): в теле 0 ссылок на services. В блоке More architectural shapes своей услуги нет. Вторичная связь возможна с column-capitals
blog;Decorative keystones;https://decorativearchitecturalshapes.com/easy-installation-why-pre-assembled-solutions-s/;Decorative Architectural Arches;https://decorativearchitecturalshapes.com/services/decorative-architectural-arches/;missing;missing;Статья проверена целиком (2/2): в теле 0 ссылок на services. Услуги Keystones нет — задано ближайшее соответствие (Arches). Slug не соответствует теме (остаток черновика)
blog;Juliet balcony functional kits;https://decorativearchitecturalshapes.com/juliet-balcony-functional-kits/;Decorative Juliet Balconies;https://decorativearchitecturalshapes.com/services/decorative-juliet-balconies/;missing;missing;Статья проверена целиком (2/2): в теле 0 ссылок на services. В блоке More architectural shapes своей услуги нет
blog;Decorative modern dormer windows;https://decorativearchitecturalshapes.com/decorative-architectural-shapes-decorative-modern-dormer-windows/;Dormer Windows;https://decorativearchitecturalshapes.com/services/dormer-windows/;missing;missing;Статья проверена целиком (2/2): в теле 0 ссылок на services. В блоке More architectural shapes своей услуги нет
blog;Exterior corbels and brackets;https://decorativearchitecturalshapes.com/decorative-architectural-shapes-exterior-corbels-and-brackets/;Exterior Corbels and Brackets;https://decorativearchitecturalshapes.com/services/exterior-corbels-brackets/;missing;missing;Статья проверена целиком (2/2): в теле 0 ссылок на services. В блоке More architectural shapes своей услуги нет
blog;How to choose exterior polyurethane trim for your home;https://decorativearchitecturalshapes.com/how-to-choose-exterior-polyurethane-trim-for-your-home/;Exterior Decorative Trims;https://decorativearchitecturalshapes.com/services/exterior-decorative-trims/;linked;missing;Статья проверена целиком (3/3): 1 тематическая контекстная ссылка на свою услугу (EPS foam trim exterior). В блоке More architectural shapes своей услуги нет. С услуг не связана (не входит в 3 последних)
blog;Interior foam crown molding and decorative trim: styles design ideas installation and benefits;https://decorativearchitecturalshapes.com/interior-foam-crown-molding-and-decorative-trim-styles-design-ideas-installation-and-benefits/;Crown Moldings;https://decorativearchitecturalshapes.com/services/crown-moldings/;missing;template-nontopical;Статья проверена целиком (3/3): в теле 0 ссылок на services. В блоке More architectural shapes своей услуги нет. С услуг/кейсов есть нетематическая ссылка (входит в 3 последних поста). Вторичная связь возможна с decorative-moldings
blog;How to install foam molding: step-by-step guide tools adhesives and common mistakes;https://decorativearchitecturalshapes.com/how-to-install-foam-molding-step-by-step-guide-tools-adhesives-and-common-mistakes/;Decorative Moldings;https://decorativearchitecturalshapes.com/services/decorative-moldings/;missing;template-nontopical;Статья проверена целиком (3/3): в теле 0 ссылок на services. Отдельной услуги Install нет — задано ближайшее соответствие (Decorative Moldings). С услуг/кейсов есть нетематическая ссылка (входит в 3 последних поста)
blog;Exterior window shutters: styles materials custom options and installation guide;https://decorativearchitecturalshapes.com/exterior-window-shutters-styles-materials-custom-options-and-installation-guide/;Exterior Louvers;https://decorativearchitecturalshapes.com/services/exterior-louvers/;missing;template-nontopical;Статья проверена целиком (3/3): в теле 0 ссылок на services. Услуги Shutters нет — задано ближайшее соответствие (Louvers). С услуг/кейсов есть нетематическая ссылка (входит в 3 последних поста). Карточка статьи в блоках Blog posts показывает чужой анонс (от install-гайда)
case;Custom Architectural Privacy Wall | Private Residence Sarasota;https://decorativearchitecturalshapes.com/case-collection/private-residence-privacy-wall-sarasota-fl/;Custom Stucco Wall Fence Systems;https://decorativearchitecturalshapes.com/services/custom-stucco-wall-fence-systems/;missing;missing;Страница проверена целиком: 0 ссылок на services. Блок Similar projects содержит self-link (карточку на саму страницу)
case;6ft Decorative Stucco Wall Fence | Corner Lot Privacy Solution;https://decorativearchitecturalshapes.com/case-collection/6-foot-high-decorative-stucco-wall-fence-for-a-corner-lot-home/;Custom Stucco Wall Fence Systems;https://decorativearchitecturalshapes.com/services/custom-stucco-wall-fence-systems/;missing;missing;Страница проверена целиком: 0 ссылок на services. Блок Similar projects содержит self-link
case;Architectural Privacy Wall – Private Residence in Ponte Vedra;https://decorativearchitecturalshapes.com/case-collection/private-residence-privacy-wall-ponte-vedra-beach-fl/;Custom Stucco Wall Fence Systems;https://decorativearchitecturalshapes.com/services/custom-stucco-wall-fence-systems/;missing;missing;Страница проверена целиком: 0 ссылок на services. Есть список Related Products без ссылок (единственный на 12 кейсах). Блок Similar projects содержит self-link
case;Luxury Architectural Privacy Wall | Naples FL;https://decorativearchitecturalshapes.com/case-collection/luxury-residence-privacy-wall-naples-fl/;Custom Stucco Wall Fence Systems;https://decorativearchitecturalshapes.com/services/custom-stucco-wall-fence-systems/;missing;missing;Страница проверена целиком: 0 ссылок на services. Блок Similar projects содержит self-link
case;Architectural Stucco Privacy Wall | New Construction in Tampa;https://decorativearchitecturalshapes.com/case-collection/architectural-stucco-privacy-wall-for-a-new-construction-home-tampa-fl/;Custom Stucco Wall Fence Systems;https://decorativearchitecturalshapes.com/services/custom-stucco-wall-fence-systems/;missing;missing;Страница проверена целиком: 0 ссылок на services. Блок Similar projects содержит self-link
case;Residential Stucco Fence | Fort Myers FL;https://decorativearchitecturalshapes.com/case-collection/private-residence-stucco-fence-fort-myers-fl/;Custom Stucco Wall Fence Systems;https://decorativearchitecturalshapes.com/services/custom-stucco-wall-fence-systems/;missing;missing;Страница проверена целиком: 0 ссылок на services. Блок Similar projects содержит self-link
case;The concrete illusion;https://decorativearchitecturalshapes.com/case-collection/the-concrete-illusion/;Custom Stucco Wall Fence Systems;https://decorativearchitecturalshapes.com/services/custom-stucco-wall-fence-systems/;missing;missing;Страница проверена целиком: 0 ссылок на services. Не входит ни в один блок Similar projects (выпал из перелинковки кейсов)
case;Beyond the block;https://decorativearchitecturalshapes.com/case-collection/beyond-the-block/;Custom Stucco Wall Fence Systems;https://decorativearchitecturalshapes.com/services/custom-stucco-wall-fence-systems/;missing;missing;Страница проверена целиком: 0 ссылок на services. Не входит ни в один блок Similar projects (выпал из перелинковки кейсов)
case;Decorative Stucco Fence | Custom Residential Wall Solution;https://decorativearchitecturalshapes.com/case-collection/private-residence-stucco-fence/;Custom Stucco Wall Fence Systems;https://decorativearchitecturalshapes.com/services/custom-stucco-wall-fence-systems/;missing;missing;Страница проверена целиком: 0 ссылок на services. Блок Similar projects содержит self-link
case;HOA Residential Privacy Wall | Jacksonville FL;https://decorativearchitecturalshapes.com/case-collection/hoa-residential-development-privacy-wall-jacksonville-fl/;Custom Stucco Wall Fence Systems;https://decorativearchitecturalshapes.com/services/custom-stucco-wall-fence-systems/;missing;missing;Страница проверена целиком: 0 ссылок на services. Тело дублирует текст кейса Naples (не заменены город и имя). Блок Similar projects содержит self-link
case;Gated Community Privacy Wall | HOA Orlando FL;https://decorativearchitecturalshapes.com/case-collection/hoa-gated-community-orlando-fl/;Custom Stucco Wall Fence Systems;https://decorativearchitecturalshapes.com/services/custom-stucco-wall-fence-systems/;missing;missing;Страница проверена целиком: 0 ссылок на services. Блок Similar projects содержит self-link
