"Variation SKU","Variation Label","Variation Record Key","Parent SKU","Parent Name","Linked Sites","Site Brand Mapping","Feed Title","Feed Description","Price Amount","Currency","Feed Price","Availability","Condition","Item Group ID","Color","Texture / Pattern","Material","Length","Width","Height","Depth","Projection","Diameter","Sides","Selected Attributes","Image Link","Product Link","Google Product Category","GTIN","MPN","Identifier Exists","Airtable Import Status","Marketplace Export Status","PIM Issues","Regular Price Original","Tiered Pricing","Stock","Is Active","Published"
"","Variation — recbgyAFPrVRzhOOA","UNRESOLVED::Variation — recbgyAFPrVRzhOOA","","","","{}","","","","USD","","","new","","","","","","","","","","","","","","","","","","","NEEDS_REVIEW","BLOCKED","Variation SKU is empty | Valid parent product is missing | Regular Price is empty or invalid | Stock is empty | Variation is not published","","","","1","0"
"","Variation — recKl8HY8OgzjbMBw","UNRESOLVED::Variation — recKl8HY8OgzjbMBw","0081E","Round Column Set - Tuscan Cap & Base","decorativearchitecturalshapes.com","{""decorativearchitecturalshapes.com"": ""Decorative Architectural Shapes""}","Round Column Set - Tuscan Cap & Base","test","","USD","","","new","0081E","","","","","","","","","","","","","","","","","","NEEDS_REVIEW","BLOCKED","Variation SKU is empty | Regular Price is empty or invalid | Stock is empty | Variation is not active | Variation is not published","","","","0","0"
"","Variation — recJokRNP9rLQUCgk","UNRESOLVED::Variation — recJokRNP9rLQUCgk","","","","{}","","","","USD","","","new","","","","","","","","","","","","","","","","","","","NEEDS_REVIEW","BLOCKED","Variation SKU is empty | Valid parent product is missing | Regular Price is empty or invalid | Stock is empty | Variation is not active | Variation is not published","","","","0","0"
"TEST-VARIABLE-001-S","TEST-VARIABLE-001-S","TEST-VARIABLE-001-S","","","","{}","","","111.00","USD","111.00 USD","in_stock","new","","","","","","","","","","","","","","","","","","","NEEDS_REVIEW","BLOCKED","Valid parent product is missing | Test SKU","$111.00","","5","1","1"
"TEST-VARIABLE-001-L","TEST-VARIABLE-001-L","TEST-VARIABLE-001-L","","","","{}","","","222.00","USD","222.00 USD","in_stock","new","","","","","","","","","","","","","","","","","","","NEEDS_REVIEW","BLOCKED","Valid parent product is missing | Test SKU","$222.00","","5","1","1"
"TEST-VARIABLE-055-test","TEST-VARIABLE-055-test","TEST-VARIABLE-055-test","TEST-VARIABLE11-004","test airtable 334","decorativearchitecturalshapes.com","{""decorativearchitecturalshapes.com"": ""Decorative Architectural Shapes""}","test airtable 334","test 2","555.00","USD","555.00 USD","in_stock","new","TEST-VARIABLE11-004","","","","","","","","","","","","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/mPe1-NExmURwtLk5WIWCmw/kp5gAZUKNi3JkBaGy1mFlXFrIXGuTB8rv6KR9xNW0lq_ng8lml8l4e0lJ0yZoS57dT8lg82PSrmMrt3zukamNFkL6hjHiZhd8arYYq2OpYE5WfBWeLfWn-Q0wyGSYoxNnxYDxVmhgaN6vr-XCRfWVGezE4LKo3LFcxPTyH_ty9IRIFD7OtcVNGSoJKLzOF1d/dPaT3K5_fR8r9Mb_SKl8KdN8qq7NNPwBinqOM9fhnqc","","","","","","READY","BLOCKED","Test SKU","$555.00","7:173,20:165","22","1","1"
"TEST-VARIABLE-1","TEST-VARIABLE-1","TEST-VARIABLE-1","TEST-VARIABLE1","test airtable 1","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","test airtable 1","hjghjgh","200.00","USD","200.00 USD","in_stock","new","TEST-VARIABLE1","","","","","","","","","","","","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/VfqZozGACVHi8rJLHp5DrA/lpptXDBlg7jvuccuB7ENWzUoAgjXWHtST3CRijkOD2zS9udl4fIT2k90b-31jXefq99wZh0AepJgbQI20wTVOcgU8d8xYzLHXC-24JcxAsTQDMm6hRruDzuLjnV_jHjxLvlnDMZWdpEgu9ztEJHwlkxG4MUqlZdmRnsvMNh5EAA/JYe4reawIc2MOnKg3rMaUlf0whBwygR78SIp7o3qPZo","","","","","","READY","BLOCKED","Test SKU","$200.00","7:173,20:165","1","1","1"
"","Variation — rec8RJYXJQRGwM9EW","UNRESOLVED::Variation — rec8RJYXJQRGwM9EW","TEST_SWB-001","Smooth Wood Beams","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Smooth Wood Beams","Smooth Real Wood Beams are handcrafted from high-quality cedar to offer a clean, contemporary alternative to heavily textured or rustic styles. Designed for those who prefer a sleek, refined look, these smooth real wood beams feature an even surface with subtle grain movement and minimal surface variation, free from heavy distressing or deep grooves. The result is a soft, elegant texture that feels natural yet sophisticated.","160.00","USD","160.00 USD","","new","TEST_SWB-001","","","","","","","","","","","","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/8p4fcLrfr2B0823QC6xBBw/B1-3hrhQVtpyjiSrw4zaJO18xaPJ-BxVP_PgXIiWzg7kXWRryhLrLu0xSU-kPvu7lnKWl6F6ZiLvQ91FxJLkME1yPJJn9Y3TYvGyJP4IKK-jA2SdY9o-DRxPziZwceAvBJ9IUj6qJda4jjAwP5vjPom6iqIq9wNV6SivBOpC5dg/0Vhn4_9KrtszY_El8ZsHnCp-Q4bRfEs4AeEMcjq8hdA","","","","","","NEEDS_REVIEW","BLOCKED","Variation SKU is empty | Variation is not published","$160.00","","5","1","0"
"TEST-VARIABLE-999","TEST-VARIABLE-999","TEST-VARIABLE-999","TEST-VARIABLE1","test airtable 1","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","test airtable 1","hjghjgh","777.00","USD","777.00 USD","","new","TEST-VARIABLE1","","","","","","","","","","","","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/VfqZozGACVHi8rJLHp5DrA/lpptXDBlg7jvuccuB7ENWzUoAgjXWHtST3CRijkOD2zS9udl4fIT2k90b-31jXefq99wZh0AepJgbQI20wTVOcgU8d8xYzLHXC-24JcxAsTQDMm6hRruDzuLjnV_jHjxLvlnDMZWdpEgu9ztEJHwlkxG4MUqlZdmRnsvMNh5EAA/JYe4reawIc2MOnKg3rMaUlf0whBwygR78SIp7o3qPZo","","","","","","READY","BLOCKED","Variation is not published | Test SKU","$777.00","","10","1","0"
"3D-MOD001-1","3D-MOD001-1","3D-MOD001-1","3D-MOD001","3dsignfactory-test","3dsignfactory.com,decorativearchitecturalproducts.com,3dsignfactory.us","{""3dsignfactory.com"": ""3D Sign Factory"", ""3dsignfactory.us"": ""3D Sign Factory"", ""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","3dsignfactory-test — 3"", 6"", 4' 3"" (51"")","test monument sign","70.00","USD","70.00 USD","in_stock","new","3D-MOD001","","","","4' 3"" (51"")","3""","6""","","","","","Width: 3"", Height: 6"", Length: 4' 3"" (51"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/yn6TlJXPIHS2ORum0C2eKA/p5W13h6Tz47mrFu_09MBsUdxxtdtVxhbYPhmH_MD3ciy70qu88ESlGYLc-7NDP4NTAZRdn0vjqCC1MLXcw8OX8s40k6mmlhN2UJb5E1THeCCDmXav33IW2Mv5FvOUEzgzJdO10EwqGw7f2CGp4Op22FWKE0l9FVJO_OaChLMijTBsAJGl37t05uiX4rxJeZk68AAajRb2gTAfV_a7sWWqQ/uXUeUK1272dj-8rsir6HMVFVZ5UuHeHlzWiY3HxFspQ","","","","","","READY","BLOCKED","Selected attributes are not listed on parent | Parent attributes not selected: Color","$70.00","","10","1","1"
