"Категория","Атрибут","Поле фида","Требование","Master PIM Products (274)","Master PIM Variations (1862)","Итоговый статус","Что исправить","Официальные источники"
"Обязательное","ID / SKU","id","Google/Pinterest/Meta: обязательно","274/274 (100.0%)","1858/1862 (99.8%)","Частично готово","4 вариации без SKU; остальные SKU уникальны. Использовать Variation SKU как id вариации.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательное","Название","title","Обязательно","Name: 274/274 (100.0%)","Отдельного title нет","Требует генерации","Создать title вариации из Name родителя + выбранные размеры/фактура/цвет.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательное","Описание","description","Обязательно","203/274 (74.1%)","Наследуется от родителя","Частично","Заполнить 71 родительскую карточку; удалить test/мусорные описания.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательное","URL товара/вариации","link","Обязательно","Нет; Linked Sites — только домены","Нет","Критически отсутствует","Добавить стабильный URL конкретной карточки с предвыбранной вариацией.","https://support.google.com/merchants/answer/4752265?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательное","Основное изображение","image_link","Обязательно","244/274 (89.1%)","Отдельного изображения вариации нет","Частично","30 родителей без изображения; все имеющиеся URL Airtable нужно заменить стабильными URL/CDN. Для визуальных вариантов нужны соответствующие изображения.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательное","Цена","price","Обязательно","Нет цены родителя","1833/1862 (98.4%)","Есть почти полностью, формат не готов","29 вариаций без цены. Преобразовать $123.00 в 123.00 USD; указать валюту явно.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательное","Акционная цена","sale_price","Необязательно","Нет","Нет","Отсутствует","Добавить только для реальных скидок.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательное","Наличие","availability","Обязательно","In stock?: 272/274 (99.3%)","Stock: 733/1862 (39.4%); Active: 1860/1862 (99.9%)","Не готово","1129 вариаций без Stock; Is Active не заменяет availability. Нормализовать отдельный статус.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Условно обязательное","Дата поступления","availability_date","Google: для preorder","Нет","Нет","Отсутствует","Добавить для preorder/backorder согласно выбранному статусу.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Обязательное Meta / условное Google","Состояние","condition","Meta обязательно; Google для used/refurbished","Нет","Нет","Отсутствует","Добавить new для новых изделий.","https://support.google.com/merchants/answer/7052112?hl=ru | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательное","Бренд","brand","Google/Meta обязательно для новых товаров","Нет","Нет","Критически отсутствует","Добавить фактический бренд производителя.","https://support.google.com/merchants/answer/7052112?hl=ru | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Условно обязательное","GTIN","gtin","Google: если присвоен","Нет","Нет","Отсутствует","Не придумывать; добавить только действительные GS1-коды.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Условно обязательное","MPN","mpn","Google: если нет GTIN, но MPN присвоен","Нет","Variation SKU можно использовать только если он официально принят как MPN","Требует решения","Утвердить MPN производителя для стандартных моделей/вариаций либо корректно применить identifier_exists=no.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Условно обязательное","Нет идентификаторов","identifier_exists","Google: no при отсутствии GTIN и brand+mpn","Нет","Нет","Отсутствует","Добавить правило маппинга для уникальных изделий.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Рекомендуемое / условное","Категория Google","google_product_category","Рекомендуется; Meta checkout условно","Categories не заменяет Google taxonomy","Наследуется","Отсутствует","Сопоставить 17 внутренних категорий с таксономией Google.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://www.facebook.com/business/help/526764014610932"
"Необязательное","Тип товара","product_type","Рекомендуется","274/274 (100.0%)","Наследуется","Есть источник","Нормализовать опечатки в названиях категорий.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs"
"Условно обязательное","Группа вариантов","item_group_id","Pinterest обязательно для вариантов; Google условно","SKU родителя и Variations","Parent Product: 1860/1862 (99.9%)","Есть с ошибками","14 некорректных Parent Product; 12 вариаций не связаны ни с одним родителем; один SKU связан с 25 родителями.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Условно обязательное","Цвет","color","Google: если цвет создаёт варианты","Product Attributes: 1/274 (0.4%)","В Linked Attributes отсутствует","Не готово","Родительские доступные цвета не выбраны на уровне вариаций.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Условно обязательное","Размер","size","Google: если размеры создают варианты","Опции размеров в Product Attributes: 37/274 (13.5%)","Размерные атрибуты: 1853/1862 (99.5%)","Есть, требует преобразования","Сформировать size и/или product dimensions из значений конкретной вариации; исправить конфликтующие значения.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Условно обязательное","Материал","material","Google: если материал создаёт варианты","Нет","Нет","Отсутствует","Добавить EPS, HDU, polyurethane и др.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
