Данные WooCommerce,Официальное поле фида,Google Shopping,Pinterest,Meta Facebook Instagram,Обновлённое требование для архитектурных товаров,Официальный источник Google,Официальный источник Pinterest,Официальный источник Meta
Уникальный артикул,id,Обязательно,Обязательно,Обязательно,"Постоянный уникальный ID для каждого товара и каждой вариации. Желательно использовать SKU. В Meta ID должен совпадать с content_id событий Pixel и Conversions API.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Название,title или structured_title,Обязательно,Обязательно,Обязательно,"Название конкретного товара или конфигурации. Google: до 150 символов; Pinterest: до 500; Meta: до 200. Для заказного изделия рекомендуется начинать с Custom и указывать тип, фактуру и размер.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Описание,description или structured_description,Обязательно,Обязательно,Обязательно,"Описание должно соответствовать товару на целевой странице. Включить материал, размеры, фактуру, покрытие, назначение, комплектацию и ограничения. Google: до 5000 символов; Pinterest: до 10000; Meta: до 9999.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Ссылка на товар,link,Обязательно,Обязательно,Обязательно,"Прямая ссылка на конкретный товар или конфигурацию. Не категория, портфолио, главная страница или общая форма запроса цены.",https://support.google.com/merchants/answer/4752265?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://www.facebook.com/business/help/1205792533104321
Главное изображение,image_link,Обязательно,Обязательно,Обязательно,"Изображение должно показывать именно продаваемый товар или конфигурацию, без водяных знаков и рекламного текста. Pinterest указывает минимум 1000 x 1500 px; Meta — минимум 500 x 500 px, JPEG или PNG.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Дополнительные изображения,additional_image_link,Рекомендуется,Рекомендуется,Рекомендуется,"Показывать разные ракурсы, фактуру, торцы, состав комплекта, масштаб и пример установленного изделия. Это необязательное поле.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Фиксированная цена,price,Обязательно,Обязательно,Обязательно,"Цена конкретной покупаемой конфигурации с кодом валюты, например 620.00 USD. Должна совпадать в фиде, на странице и при оформлении заказа. Цена «from» допустима только если это цена показанной и напрямую покупаемой базовой конфигурации.",https://support.google.com/merchants/answer/6324371?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Акционная цена,sale_price,Необязательно,Необязательно,Необязательно,"Передавать только при реальной скидке. Акционная цена должна быть ниже обычной и совпадать со страницей товара.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Период действия скидки,sale_price_effective_date,Необязательно,Нет стандартного обязательного поля,Необязательно,"Для Google и Meta можно передавать период действия временной скидки. В Pinterest sale_price поддерживается, но период не входит в базовый обязательный набор retail catalog.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Наличие,availability,Обязательно,Обязательно,Обязательно,"Google: in_stock, out_of_stock, preorder, backorder. Pinterest: in stock, out of stock, preorder. Meta: значения по официальной спецификации, включая in stock и out of stock. Данные должны совпадать со страницей.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
