"Категория требования","Атрибут","Поле фида","Требование площадок","Найдено в Master PIM","Заполнено строк","Всего строк","Заполненность","Статус","Что необходимо сделать","Официальные требования"
"Обязательное","Уникальный идентификатор","id","Обязателен для Google, Pinterest и Meta","SKU","274","274","100.0%","Есть и заполнено","Использовать SKU как стабильный id. Проверить совпадение с content_id Meta Pixel/CAPI.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательное","Название","title","Обязательно для всех площадок","Name","274","274","100.0%","Есть и заполнено","Удалить тестовые названия; включить тип изделия и характеристики конкретной конфигурации.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательное","Описание","description","Обязательно для всех площадок","Description; Short description","203","274","74.1%","Есть, но заполнено частично","Заполнить 71 пустую карточку и удалить тестовые значения. Description должен соответствовать товару.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательное","Ссылка на конкретный товар","link","Обязательно для всех площадок","Linked Sites содержит только домены, не URL товара","0","274","0.0%","Отсутствует","Добавить постоянный URL конкретной карточки или вариации. Домен из Linked Sites не заменяет link.","https://support.google.com/merchants/answer/4752265?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://www.facebook.com/business/help/1205792533104321"
"Обязательное","Основное изображение","image_link","Обязательно для всех площадок","Images","244","274","89.1%","Есть, но заполнено частично и требует доработки","Добавить изображения для 30 товаров. Заменить временные Airtable attachment URL на стабильные публичные URL сайта/CDN.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательное","Цена","price","Обязательно для всех площадок","Колонки цены нет","0","274","0.0%","Отсутствует — критично","Добавить фиксированную цену каждой покупаемой конфигурации и валюту. Quote only / Request a quote не заменяет price.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательное","Наличие","availability","Обязательно для всех площадок","In stock?; Stock","272","274","99.3%","Есть, но нужна нормализация","Преобразовать значения в допустимые статусы каждой площадки. Значения 5 и 10 в In stock? ошибочны для логического поля.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Условно обязательное","Дата поступления","availability_date","Google: обязательна для preorder","Нет","0","274","0.0%","Отсутствует","Добавить для товаров со статусом preorder; показывать ту же дату на странице.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Обязательное для Meta / условное для Google","Состояние товара","condition","Meta: обязательно; Google: обязательно для used/refurbished","Нет","0","274","0.0%","Отсутствует","Добавить поле condition. Для рассматриваемых новых изделий использовать new.","https://support.google.com/merchants/answer/7052112?hl=ru | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательное","Бренд","brand","Google и Meta: обязательно для новых товаров; Pinterest: необязательно","Нет","0","274","0.0%","Отсутствует — критично","Добавить бренд фактического производителя для каждого товара.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Условно обязательное","GTIN / UPC / EAN","gtin","Google: обязателен, если присвоен производителем","Нет","0","274","0.0%","Отсутствует","Добавить только реальные GS1-коды. Для уникальных custom-made товаров не придумывать GTIN.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Условно обязательное","Код производителя","mpn","Google: обязателен при отсутствии GTIN, если MPN присвоен","Нет","0","274","0.0%","Отсутствует","Добавить постоянный MPN для стандартных производимых моделей и отдельных вариаций.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Условно обязательное","Признак отсутствия идентификаторов","identifier_exists","Google: нужен со значением no при отсутствии GTIN и brand+mpn","Нет","0","274","0.0%","Отсутствует","Добавить Google-атрибут. Использовать no только для действительно уникальных изделий без MPN.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Условно обязательное","Категория Google","google_product_category","Рекомендуется Google/Pinterest; Meta checkout: обязательна при отсутствии fb_product_category","Нет; Categories является внутренней категорией","0","274","0.0%","Отсутствует","Добавить наиболее точную категорию действующей таксономии Google для каждого типа изделия.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://www.facebook.com/business/help/526764014610932"
"Условно обязательное","Категория Meta","fb_product_category","Нужна только для прямого Meta checkout, если нет google_product_category","Нет","0","274","0.0%","Отсутствует","Добавить только если используется checkout внутри Meta; иначе достаточно корректной Google category.","https://www.facebook.com/business/help/526764014610932"
"Условно обязательное","Группа вариаций","item_group_id","Pinterest: обязательна для вариантов; Google: обязательна в применимых случаях; Meta: необязательна","Variations; родительский SKU","208","274","75.9%","Есть косвенно, но не готово к фиду","Использовать SKU родителя как item_group_id. Экспортировать каждую вариацию отдельной строкой с собственными id, ценой и атрибутами.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Условно обязательное","Цвет вариации","color","Google: обязателен, если варианты отличаются цветом","Product Attributes: color","1","274","0.4%","Есть только у 1 товара","Заполнить нормализованные значения color для всех моделей, где цвет является вариантом.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Условно обязательное","Размер вариации","size","Google: обязателен, если товар доступен в разных размерах","Product Attributes: Height/Width/Length/Diameter/Projection","37","274","13.5%","Есть частично и в ненормализованном виде","Сформировать size конкретной вариации либо отдельные значения размеров; сейчас перечислены возможные опции родителя.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Условно обязательное","Материал","material","Google: обязателен, если варианты отличаются материалом","Нет","0","274","0.0%","Отсутствует","Добавить реальный материал основы: EPS foam, HDU, polyurethane и т. п.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Условно обязательное","Фактура / рисунок","pattern","Google: обязателен, если варианты отличаются pattern","Product Attributes: Texture","138","274","50.4%","Есть косвенно и частично","Сопоставить Texture с pattern, если фактура создаёт варианты; сохранить единый словарь значений.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
