type;article_title;article_url;expected_service;service_url;article_to_service;service_to_article;notes
blog;In the beginning was the idea: how we turn sketches into custom monument signs;https://royalfoam.art/in-the-beginning-was-the-idea-how-we-turn-sketches-into-custom-monument-signs/;Foam Monument Signs;https://royalfoam.art/services/foam-monument-signs/;missing;template-nontopical;Статья проверена целиком: в теле 0 ссылок на services. Входит в статичный блок из 3 постов на услугах (совпадение с Monument Signs случайно, блок одинаковый везде)
blog;Custom 3D props that turn events into shareable moments;https://royalfoam.art/custom-3d-props-that-turn-events-into-shareable-moments/;Brand Activation Props;https://royalfoam.art/services/brand-activation-props/;missing;template-nontopical;Статья проверена целиком: в теле 0 ссылок на services. Входит в статичный блок из 3 постов на услугах (нетематический)
blog;Commercial monument signs on a deadline: how we deliver orders;https://royalfoam.art/commercial-monument-signs/;Foam Monument Signs;https://royalfoam.art/services/foam-monument-signs/;missing;template-nontopical;Статья проверена целиком: в теле 0 ссылок на services. Входит в статичный блок из 3 постов на услугах (совпадение с Monument Signs случайно)
blog;Custom architectural foam elements: design process manufacturing materials and applications;https://royalfoam.art/custom-architectural-foam-elements-design-process-manufacturing-materials-and-applications/;Architectural Shapes;https://royalfoam.art/services/architectural-shapes/;linked-nontopical;missing;Статья проверена целиком: единственная ссылка ведёт на foam-monument-signs вместо своей услуги architectural-shapes. С услуг не связана (не входит в статичный блок)
blog;Custom prop fabrication: how foam props are made for film theater and events;https://royalfoam.art/custom-prop-fabrication-how-foam-props-are-made-for-film-theater-and-events/;Foam Stage and Movie Props;https://royalfoam.art/services/foam-stage-movie-props/;missing;missing;Статья проверена целиком: в теле 0 ссылок на services. С услуг не связана (не входит в статичный блок)
case;Living Stream Church: creating atmosphere with architectural foam solutions;https://royalfoam.art/case/living-stream-church-creating-atmosphere-with-architectural-foam-solutions/;Designs for Places of Worship;https://royalfoam.art/services/designs-for-places-of-worship/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;The Big Red Hat mobile activation;https://royalfoam.art/case/the-big-red-hat-mobile-activation/;Brand Activation Props;https://royalfoam.art/services/brand-activation-props/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;Giant foam props: large-scale 3D boombox installation for casino event;https://royalfoam.art/case/giant-foam-props-large-scale-3d-boombox-installation-for-casino-event/;Event Props and Decor;https://royalfoam.art/services/event-props-decor/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;Dynamics of color and light: 3D decor for Living Stream kids;https://royalfoam.art/case/dynamics-of-color-and-light-comprehensive-3d-dimensional-decor-for-living-stream-kids/;Designs for Places of Worship;https://royalfoam.art/services/designs-for-places-of-worship/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;Custom striped M letters + accent pillars;https://royalfoam.art/case/custom-striped-m-letters-accent-pillars/;Oversize Foam Letters and Logos;https://royalfoam.art/services/oversize-foam-letters-logos/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;8-foot freestanding branded N letter for N-able event;https://royalfoam.art/case/8-foot-freestanding-branded-n-letter-for-n-able-event/;Oversize Foam Letters and Logos;https://royalfoam.art/services/oversize-foam-letters-logos/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;OSET 2025 update;https://royalfoam.art/case/oset-2025-update/;Oversize Foam Letters and Logos;https://royalfoam.art/services/oversize-foam-letters-logos/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;5-foot interactive YOU letters with writable surface;https://royalfoam.art/case/5-foot-interactive-you-letters-with-writable-surface/;Oversize Foam Letters and Logos;https://royalfoam.art/services/oversize-foam-letters-logos/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;XXL 3D castle installations for casino summer campaign;https://royalfoam.art/case/xxl-3d-castle-installations-for-casino-summer-campaign/;Event Props and Decor;https://royalfoam.art/services/event-props-decor/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;Freestanding 3D Amazon logo signage installation;https://royalfoam.art/case/freestanding-3d-amazon-logo-signage-installation/;3D Logo and Branding Installations;https://royalfoam.art/services/3d-logo-branding-installations/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;Floating Camp Poosh pool letters;https://royalfoam.art/case/floating-camp-poosh-pool-letters/;Floating Pool Letters;https://royalfoam.art/services/floating-pool-letters/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;Hunter conference sign;https://royalfoam.art/case/hunter-conference-sign/;Foam Monument Signs;https://royalfoam.art/services/foam-monument-signs/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;Custom 3D swirl logo element for Xumo expo booth;https://royalfoam.art/case/custom-3d-swirl-logo-element-for-xumo-expo-booth/;3D Logo and Branding Installations;https://royalfoam.art/services/3d-logo-branding-installations/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;1 Billion and Beyond letters;https://royalfoam.art/case/1-billion-beyond-letters/;Oversize Foam Letters and Logos;https://royalfoam.art/services/oversize-foam-letters-logos/;missing;missing;Страница проверена целиком: 0 ссылок на services. В FAQ чужой бренд: Can Decorative Architectural Shapes handle…
case;Interactive phone booth installation;https://royalfoam.art/case/interactive-phone-booth-installation/;Brand Activation Props;https://royalfoam.art/services/brand-activation-props/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;Custom outdoor DWC letters: 5ft branded letter installation;https://royalfoam.art/case/custom-outdoor-dwc-letters-5-branded-letter-installation/;Oversize Foam Letters and Logos;https://royalfoam.art/services/oversize-foam-letters-logos/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;Engineering Giant mobile 3D signs;https://royalfoam.art/case/engineering-giant-mobile-3d-signs/;Oversize Foam Letters and Logos;https://royalfoam.art/services/oversize-foam-letters-logos/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;Large-scale 3D logo installation for ABC convention;https://royalfoam.art/case/large-scale-3d-logo-installation-for-abc-convention/;3D Logo and Branding Installations;https://royalfoam.art/services/3d-logo-branding-installations/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;Custom experiential installation for Pandora;https://royalfoam.art/case/custom-experiential-installation-for-pandora/;Custom Foam Sculptures;https://royalfoam.art/services/custom-foam-sculptures/;missing;missing;Страница проверена целиком: 0 ссылок на services. Вторичная связь возможна с event-props-decor
case;Oversized 3D PCMA letters + logo;https://royalfoam.art/case/oversized-3d-pcma-letters-logo/;Oversize Foam Letters and Logos;https://royalfoam.art/services/oversize-foam-letters-logos/;missing;missing;Страница проверена целиком: 0 ссылок на services. Вторичная связь возможна с 3d-logo-branding-installations
case;Oversized perfume bottle display for brand activation;https://royalfoam.art/case/oversized-perfume-bottle-display-for-brand-activation/;Foam Product Replicas;https://royalfoam.art/services/foam-product-replicas/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;The Modern Versailles project;https://royalfoam.art/case/the-modern-versailles-project/;Architectural Shapes;https://royalfoam.art/services/architectural-shapes/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;Large-scale 3D logo installation at College of Education;https://royalfoam.art/case/large-scale-3d-logo-installation-at-college-of-education/;3D Logo and Branding Installations;https://royalfoam.art/services/3d-logo-branding-installations/;missing;missing;Страница проверена целиком: 0 ссылок на services
case;Freestanding LOVE letter installation for wedding events;https://royalfoam.art/case/freestanding-love-letter-installation-for-wedding-events/;Oversize Foam Letters and Logos;https://royalfoam.art/services/oversize-foam-letters-logos/;missing;missing;Страница проверена целиком: 0 ссылок на services
