"Раздел","Критичность","Проверка","Пройдено","Затронуто","Всего","Доля","Результат","Что исправить"
"Структура","Критично","Variation SKU заполнен","Нет","4","1862","0.2%","4 строки без SKU.","Присвоить уникальный SKU или исключить строки."
"Структура","Критично","Parent Product корректно связан","Нет","14","1862","0.8%","14 строк не совпадают с Product Label родителя.","Исправить пустые, отсутствующие, многострочные и множественные ссылки на родителей."
"Структура","Критично","Вариация связана из master product","Нет","12","1862","0.6%","12 вариаций не упомянуты ни в одном поле Variations родителя.","Связать с правильным родителем или удалить orphan-записи."
"Структура","Критично","Одна вариация принадлежит одному родителю","Нет","1","1850","0.1%","SMLPk-MOD001-0001 указан у 25 разных родителей.","Создать отдельные SKU вариаций для каждой модели или исправить связи."
"Структура","Хорошо","Variation Label уникален","Да","0","1862","0.0%","Все Variation Label уникальны.","Не менять стабильные идентификаторы после запуска."
"Структура","Хорошо","Непустые Variation SKU уникальны","Да","0","1858","0.0%","Точных дубликатов непустых SKU нет.","Сохранить уникальность."
"Контент","Критично","Linked Attributes заполнены","Нет","9","1862","0.5%","9 строк без выбранных атрибутов.","Заполнить характеристики конкретной вариации."
"Контент","Критично","Выбранные значения разрешены родителем","Нет","754","5685","13.3%","754 токена не найдены в Product Attributes своего родителя.","Синхронизировать словари родителя и вариации."
"Контент","Высоко","Выбрано по одному значению каждого типа","Нет","3","1862","0.2%","3 строки содержат несколько Width/Height одного типа.","Разделить на отдельные вариации или выбрать одно значение."
"Контент","Высоко","Выбраны все типы атрибутов родителя","Нет","686","1862","36.8%","686 вариаций не выбирают минимум один ожидаемый тип, чаще Texture.","Добавить выбранную Texture/Color или убрать её как вариативный атрибут родителя."
"Цена","Критично","Regular Price заполнена","Нет","29","1862","1.6%","29 строк без цены.","Добавить фиксированную цену или исключить из фида."
"Цена","Высоко","Regular Price готова к ISO-формату фида","Нет","1833","1862","98.4%","Все 1833 цены записаны как $123.00 без ISO-кода.","Экспортировать как 123.00 USD."
"Цена","Средне","Tiered Pricing имеет единый формат","Нет","2","444","0.5%","442 JSON и 2 legacy-значения 7:173,20:165.","Привести все значения к одной JSON-схеме."
"Остатки","Критично","Stock заполнен","Нет","1129","1862","60.6%","1129 строк без количества.","Заполнить остаток или отдельный availability для каждой вариации."
"Публикация","Высоко","Published заполнен","Нет","1133","1862","60.8%","1133 вариации не опубликованы, хотя 1131 из них активны.","Определить правило Active vs Published и устранить противоречие."
"Публикация","Средне","Is Active заполнен","Нет","2","1862","0.1%","2 строки без статуса активности.","Заполнить checked/unchecked по единому справочнику."
"Контроль","Средне","SKU Status рассчитан","Нет","1516","1862","81.4%","1516 строк без SKU Status; только 346 имеют OK.","Пересчитать проверку SKU для всех строк."
"Контроль","Высоко","Нет тестовых SKU","Нет","5","1862","0.3%","5 SKU содержат TEST.","Исключить тестовые товары из production feed."
