"Раздел","Данные WooCommerce","Официальное поле фида","Google Shopping","Pinterest","Meta Facebook Instagram","Обновлённое требование для архитектурных товаров","Официальный источник Google","Официальный источник Pinterest","Официальный источник Meta"
"Необязательные и рекомендуемые","Дополнительные изображения","additional_image_link","Рекомендуется","Рекомендуется","Рекомендуется","Показывать разные ракурсы, фактуру, торцы, состав комплекта, масштаб и пример установленного изделия. Это необязательное поле.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательные и рекомендуемые","Акционная цена","sale_price","Необязательно","Необязательно","Необязательно","Передавать только при реальной скидке. Акционная цена должна быть ниже обычной и совпадать со страницей товара.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательные и рекомендуемые","Период действия скидки","sale_price_effective_date","Необязательно","Нет стандартного обязательного поля","Необязательно","Для Google и Meta можно передавать период действия временной скидки. В Pinterest sale_price поддерживается, но период не входит в базовый обязательный набор retail catalog.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательные и рекомендуемые","Категория магазина","product_type","Необязательно","Необязательно","Необязательно","Передавать полную иерархию, например Architectural Products > Exterior Decor > Cornices. Полезно для структуры кампаний и групп товаров.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательные и рекомендуемые","Название группы вариаций","item_group_title","Необязательно","Нет поля","Нет стандартного поля","Google рекомендует одинаковое название родительской модели для всех вариантов одной группы.","https://support.google.com/merchants/answer/7052112?hl=ru","",""
"Необязательные и рекомендуемые","Технические характеристики","product_detail","Необязательно","Нет поля","Нет стандартного поля","Официальное поле Google для проверяемых характеристик: материал основы, плотность, покрытие, размеры, класс огнестойкости и способ применения. Не включать рекламу, цену или доставку.","https://support.google.com/merchants/answer/9218260?hl=ru","",""
"Необязательные и рекомендуемые","Ключевые преимущества","product_highlight","Необязательно","Нет поля","Нет стандартного поля","Официальное поле Google для кратких преимуществ. Не дублировать description или product_detail и не использовать неподтверждённые заявления.","https://support.google.com/merchants/answer/9216100?hl=ru","",""
"Необязательные и рекомендуемые","Длина товара","product_length","Необязательно","Нет стандартного поля","Нет стандартного поля","Фактическая длина изделия. Подходит для балок, карнизов, молдингов, колонн и панелей. Не путать с длиной упаковки.","https://support.google.com/merchants/answer/7052112?hl=ru","",""
"Необязательные и рекомендуемые","Ширина товара","product_width","Необязательно","Нет стандартного поля","Нет стандартного поля","Фактическая ширина изделия. Использовать ту же единицу измерения, что и для других размеров товара.","https://support.google.com/merchants/answer/7052112?hl=ru","",""
"Необязательные и рекомендуемые","Высота товара","product_height","Необязательно","Нет стандартного поля","Нет стандартного поля","Фактическая высота изделия. Полезно для колонн, арок, скульптур, вывесок и каминных порталов.","https://support.google.com/merchants/answer/7052112?hl=ru","",""
"Необязательные и рекомендуемые","Вес товара","product_weight","Необязательно","Нет стандартного поля","Нет стандартного поля","Фактический вес готового изделия. Для комплектов указывать общий вес компонентов.","https://support.google.com/merchants/answer/7052112?hl=ru","",""
