"Раздел","Данные WooCommerce","Официальное поле фида","Google Shopping","Pinterest","Meta Facebook Instagram","Обновлённое требование для архитектурных товаров","Официальный источник Google","Официальный источник Pinterest","Официальный источник Meta"
"Обязательные и условно обязательные","Уникальный артикул","id","Обязательно","Обязательно","Обязательно","Постоянный уникальный ID для каждого товара и каждой вариации. Желательно использовать SKU. В Meta ID должен совпадать с content_id событий Pixel и Conversions API.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательные и условно обязательные","Название","title или structured_title","Обязательно","Обязательно","Обязательно","Название конкретного товара или конфигурации. Google: до 150 символов; Pinterest: до 500; Meta: до 200. Для заказного изделия рекомендуется начинать с Custom и указывать тип, фактуру и размер.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательные и условно обязательные","Описание","description или structured_description","Обязательно","Обязательно","Обязательно","Описание должно соответствовать товару на целевой странице. Включить материал, размеры, фактуру, покрытие, назначение, комплектацию и ограничения. Google: до 5000 символов; Pinterest: до 10000; Meta: до 9999.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательные и условно обязательные","Ссылка на товар","link","Обязательно","Обязательно","Обязательно","Прямая ссылка на конкретный товар или конфигурацию. Не категория, портфолио, главная страница или общая форма запроса цены.","https://support.google.com/merchants/answer/4752265?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://www.facebook.com/business/help/1205792533104321"
"Обязательные и условно обязательные","Главное изображение","image_link","Обязательно","Обязательно","Обязательно","Изображение должно показывать именно продаваемый товар или конфигурацию, без водяных знаков и рекламного текста. Pinterest указывает минимум 1000 x 1500 px; Meta — минимум 500 x 500 px, JPEG или PNG.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательные и условно обязательные","Фиксированная цена","price","Обязательно","Обязательно","Обязательно","Цена конкретной покупаемой конфигурации с кодом валюты, например 620.00 USD. Должна совпадать в фиде, на странице и при оформлении заказа. Цена «from» допустима только если это цена показанной и напрямую покупаемой базовой конфигурации.","https://support.google.com/merchants/answer/6324371?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательные и условно обязательные","Наличие","availability","Обязательно","Обязательно","Обязательно","Google: in_stock, out_of_stock, preorder, backorder. Pinterest: in stock, out of stock, preorder. Meta: значения по официальной спецификации, включая in stock и out of stock. Данные должны совпадать со страницей.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательные и условно обязательные","Дата поступления или готовности","availability_date","Обязательно для preorder; следует указывать для backorder","Нет стандартного поля","Нет стандартного поля","Для Google при preorder передать дату в ISO 8601 и показать её на странице. При backorder Google также требует согласованной ожидаемой даты на целевой странице.","https://support.google.com/merchants/answer/7052112?hl=ru","",""
"Обязательные и условно обязательные","Состояние","condition","Обязательно для used и refurbished; для new необязательно","Необязательно","Обязательно","Для новых архитектурных изделий передавать new. Pinterest поддерживает new, used и refurbished как необязательную характеристику.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/create-and-manage-product-groups-in-bulk","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательные и условно обязательные","Бренд","brand","Обязательно для новых товаров","Необязательно","Обязательно","Указывать реальный бренд производителя. Собственный бренд допустим, если компания действительно производит товар. Не использовать N/A, Generic или No brand.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
