type;article_title;article_url;expected_service;service_url;article_to_service;service_to_article;notes
blog;Faux Wood Trusses: The Complete Expert Guide to Polyurethane Architectural Trusses;https://decorativearchitecturalproducts.com/faux-wood-trusses-the-complete-expert-guide-to-polyurethane-architectural-trusses/;Faux Wood Trusses;https://decorativearchitecturalproducts.com/services/faux-wood-trusses/;missing;missing;Статья проверена целиком (8/8): в теле 0 ссылок на services. В шаблонном блоке What we do (10 услуг) своей услуги нет
blog;Front Door Surround Kits: The Complete Expert Guide to EPS Hard-Coat Architectural Entry Surround Systems;https://decorativearchitecturalproducts.com/front-door-surround-kits-the-complete-expert-guide-to-eps-hard-coat-architectural-entry-surround-systems/;Front Door Surrounds kits;https://decorativearchitecturalproducts.com/services/front-door-surrounds-kits/;missing;missing;В теле ссылок на services нет. В What we do своей услуги нет
blog;Faux Wood Beams Made of Polyurethane: The Smartest Alternative to Real Timber for Residential and Commercial Projects;https://decorativearchitecturalproducts.com/faux-wood-beams-made-of-polyurethane-2/;Faux Wood Beams;https://decorativearchitecturalproducts.com/services/custom-faux-wood-beams/;missing;missing;В теле ссылок на services нет. В What we do своей услуги нет
blog;Architectural Column Kits: The Complete Expert Guide to EPS Hard-Coat Column Systems — Shafts Capitals and Bases;https://decorativearchitecturalproducts.com/architectural-column-kits-the-complete-expert-guide-to-eps-hard-coat-column-systems-shafts-capitals-and-bases/;Architectural Columns kits;https://decorativearchitecturalproducts.com/services/architectural-columns-kits/;missing;missing;В теле ссылок на services нет. В What we do своей услуги нет. Вторичная связь возможна с custom-column-capitals-and-bases
blog;Exterior Polyurethane Trim and Molding for Homes – Benefits Waterproof Properties Durability and Painting Guide;https://decorativearchitecturalproducts.com/exterior-polyurethane-trim-and-molding-for-homes-benefits-waterproof-properties-durability-and-painting-guide/;— (услуги Trim/Molding нет);—;no-target;no-target;Целевой страницы услуги не существует — ссылаться не на что
blog;Decorative Columns for Porch and Exterior Design – Materials Load-Bearing Options Installation and Maintenance;https://decorativearchitecturalproducts.com/decorative-columns-for-porch-and-exterior-design/;Architectural Columns kits;https://decorativearchitecturalproducts.com/services/architectural-columns-kits/;broken;broken;Страница отдаёт 404, в post-sitemap.xml отсутствует, в таблице статус Готово
blog;Ceiling Faux Wood Planks: The Smart Alternative to Real Timber for Any Interior;https://decorativearchitecturalproducts.com/ceiling-faux-wood-planks-the-smart-alternative-to-real-timber-for-any-interior/;Ceiling Faux Wood Planks;https://decorativearchitecturalproducts.com/services/ceiling-faux-wood-planks/;missing;missing;В теле ссылок на services нет. В What we do своей услуги нет
blog;Ceiling Dome Design Systems: The Expert Guide to EPS Hard-Coat Architectural Domes and Ceiling Medallions;https://decorativearchitecturalproducts.com/ceiling-dome-design-systems-the-expert-guide-to-eps-hard-coat-architectural-domes-and-ceiling-medallions/;Ceiling dome design systems;https://decorativearchitecturalproducts.com/services/ceiling-dome-design-systems/;missing;missing;В теле ссылок на services нет. В What we do своей услуги нет
blog;Carved Foam Ceilings: The Complete Expert Guide to EPS Hard-Coat Custom Carved Ceiling Systems;https://decorativearchitecturalproducts.com/carved-foam-ceilings-the-complete-expert-guide-to-eps-hard-coat-custom-carved-ceiling-systems/;Carved Foam Ceilings;https://decorativearchitecturalproducts.com/services/carved-foam-ceilings/;missing;missing;В теле ссылок на services нет. В What we do своей услуги нет. С услуг есть нетематическая ссылка (входит в 3 последних поста)
blog;Coffered Ceilings: The Complete Expert Guide to EPS Hard-Coat Custom Ceiling Systems;https://decorativearchitecturalproducts.com/coffered-ceilings-the-complete-expert-guide-to-eps-hard-coat-custom-ceiling-systems/;Coffered Ceilings;https://decorativearchitecturalproducts.com/services/custom-coffered-ceilings/;missing;template-nontopical;В теле ссылок на services нет. В What we do своей услуги нет. С услуг есть нетематическая ссылка (входит в 3 последних поста)
